frame_id,timestamp,x,y,class_name,confidence,room_position
3210,1775794584.2353756,0.128,1.147,dog,0.315,上方
7500,1775794586.5348036,1.879,-0.127,cat,0.432,右侧
7560,1775794586.5741832,1.853,-0.202,dog,0.57,右侧
7620,1775794586.6131966,1.92,-0.21,dog,0.572,右侧
8130,1775794586.8806746,1.898,-0.118,cat,0.403,右侧
8430,1775794587.0466788,1.852,-0.431,dog,0.574,右侧
8460,1775794587.0695312,1.921,-0.723,dog,0.567,右下角
8520,1775794587.1075547,1.961,-1.613,dog,0.376,右下角
8550,1775794587.1316829,1.964,-1.703,dog,0.572,右下角
8580,1775794587.1570709,1.972,-1.712,dog,0.569,右下角
8610,1775794587.1798728,1.968,-1.712,dog,0.386,右下角
8670,1775794587.2187417,1.979,-1.748,dog,0.462,右下角
9930,1775794587.9100387,1.793,-0.752,cat,0.447,右下角
9930,1775794587.9100642,1.785,-0.744,dog,0.374,右下角
9960,1775794587.9335887,1.635,-0.323,dog,0.415,右侧
